yil;ay;otorite_adi;istasyon_adi;tekil_yolcu_sayisi;toplam_yolculuk_sayisi
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;İstinye;6027;10561
2024;2;ISTANBUL SEHIR HATLARI TUR. SAN. VE TIC. AS.;İstinye;12381;29919
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;ORTAKOY;30714;50655
2024;2;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Bostancı;36246;75606
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Emirgan;6369;9256
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BARBAROS;122920;183682
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Eskihisar;5;7
2024;2;ISTANBUL SEHIR HATLARI TUR. SAN. VE TIC. AS.;Çubuklu Arabalı;10941;26810
2024;2;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Burgazada;5264;9749
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KARAKOY;145686;228542
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kuzguncuk;302;1142
2024;2;BEYDEN DENIZ ULASIM HIZMETLERI TURIZM VE TIC. LTD. STI.;BEYDEN - Yeniköy;8507;24480
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kandilli;790;2209
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KADIKOY ESKI;169625;248202
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;YENI Kabataş;35313;70249
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Büyükdere;2634;3548
2024;2;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Heybeliada;8222;18310
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kadıköy (Eski);15520;25190
2024;2;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Kabataş Ahbap İskele;1873;2576
2024;2;ISTANBUL SEHIR HATLARI TUR. SAN. VE TIC. AS.;;258;424
2024;2;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Kadıköy Çayırbaşı;179837;282110
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BURGAZADA;8940;19441
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BESIKTAS;13884;25273
2024;2;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Üsküdar;37606;73644
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Küçüksu;8009;21328
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beşiktaş;22431;34053
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Eyüp;24123;32444
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Çubuklu;723;1055
2024;2;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Harem;13920;23343
2024;2;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Kadıköy Balon;44626;67122
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Anadolu Hisarı;8209;16536
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;EMINONU KADIKOY;165341;240829
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Rumeli Kavağı;2499;3886
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;USKUDAR;77712;127161
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beylerbeyi;2488;5620
2024;2;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Kartal;20081;50852
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KINALIADA;6666;15029
2024;2;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Büyükada;19140;39552
